Pathway	G79887	G79888	G79890	G79893	G79899	G79902	G79904	G79906	G79907	G79908	G79910	G79911	G79914	G79915	G79916	G79917	G79919	G79924	G79926	G79931	G79933	G79935	G79936	G79937	G79938	G79940	G79941	G79946	G79947	G79951	G79953	G79955	G79956	G79960	G79961	G79962	G79963	G79965	G79968	G79971	G79975	G79976	G79979	G79980	G79981	G79983	G79985	G79987	G79988	G79994	G79995	G79996	G79998	G80000	G80001	G80003	G80004	G80005	G80008	G80011	G80020	G80022	G80024	G80030	G80036	G80041	G80043	G80046	G80049	G80050	G80053	G80054	G80055	G80058	G80065	G80066	G80067	G80068
PWY-5103: L-isoleucine biosynthesis III|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63061e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31834e-6	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Megamonas.s__Megamonas_funiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.71731e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15841e-6	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Megamonas.s__Megamonas_hypermegale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21518e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.60121e-7	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Megamonas.s__Megamonas_rupellensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23591e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.22614e-7	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.71478e-7	0	0	0	0	0	0	0	5.37812e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Odoribacter.s__Odoribacter_laneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19656e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Odoribacter.s__Odoribacter_splanchnicus	4.62808e-6	0	0	0	0	8.29021e-6	0	0	3.87351e-6	0	7.79597e-7	5.30293e-6	0	0	0	0	9.25367e-7	0	0	0	0	0	0	7.71477e-6	0	0	0	0	4.42152e-7	1.82902e-6	0	6.85363e-7	0	1.95271e-6	0	0	0	6.83879e-6	1.11921e-6	0	2.6705e-6	0	0	0	0	0	2.4115e-6	0	0	0	0	0	0	0	0	2.331e-6	0	0	1.5037e-5	1.95726e-6	0	7.54066e-6	0	0	7.39461e-6	1.11842e-6	0	0	0	0	1.64624e-6	0	3.74321e-6	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_buccae	0	6.37338e-5	0	0	0	0	0	0	0	7.27617e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19688e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76711e-7	0	0	0	0	0	0	0	0	0	0	0	0	3.56487e-7	0	0	0	0	0	0	0	0	0	0	0	0	2.2272e-6	0	0	0	0	0	0	0	9.39622e-8	0	0	0	0	0	0	0	0	1.28742e-7	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	4.45311e-7	0	0	0	0	0	0	0	3.60016e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21984e-6	0	0	0	0	0	0	0	0	0	4.05975e-7	0	0	0	0	0	0	0	0	0	9.13318e-7	0	0	0	0	0	0	0	0	0	0	1.77261e-6	0	0	0	0	0	3.17803e-7
PWY-5103: L-isoleucine biosynthesis III|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93113e-6	0	0	0	0	0	0	1.98473e-6	0	0	0	0	0	0	0	0	1.48257e-6	0	0	0	0	0	0	0	0	0	0	0	8.72473e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|unclassified	1.08749e-5	1.52065e-5	1.16237e-5	2.60403e-6	6.8942e-6	5.45778e-6	0	0	2.52542e-5	2.33523e-5	6.30772e-6	5.88407e-6	0	8.81022e-6	5.43244e-6	0	3.0406e-5	6.37455e-6	4.12709e-6	0	1.03851e-5	0	8.54663e-6	3.56738e-6	9.82064e-6	1.36236e-5	2.32086e-5	0	2.18516e-6	1.23322e-5	2.10881e-6	1.50924e-5	1.12969e-5	3.9945e-5	2.83202e-6	5.25068e-6	7.43263e-6	9.8942e-6	2.69096e-5	4.16707e-6	4.48511e-5	0	8.50113e-6	0	1.10954e-5	2.41827e-5	1.99857e-5	5.62027e-6	1.09756e-6	1.83968e-6	1.42702e-5	5.63785e-6	0	0	8.65577e-7	2.49871e-5	7.73591e-6	0	2.28416e-5	1.45469e-6	1.13656e-6	7.38219e-6	2.58951e-6	6.22197e-6	1.59718e-5	5.79387e-6	3.87369e-6	9.23437e-7	2.68697e-6	2.43851e-6	1.31359e-5	2.41289e-5	7.06747e-7	1.5818e-5	4.03392e-5	2.4788e-6	0	0
PWY-5104: L-isoleucine biosynthesis IV	2.20922e-5	3.5966e-4	8.36807e-6	3.95476e-6	1.474e-5	8.0671e-6	0	0	1.03266e-5	2.18228e-4	4.10613e-6	4.48933e-6	0	2.89672e-6	7.14725e-5	2.84436e-6	3.80224e-5	6.46965e-5	6.44688e-6	0	5.25554e-7	8.99907e-6	2.5613e-5	0	4.46892e-6	1.93801e-4	1.81646e-5	9.80812e-6	2.07572e-5	4.19701e-5	2.17809e-5	3.29483e-5	5.77628e-5	4.38398e-5	2.97856e-6	4.14604e-5	1.20962e-5	7.17765e-6	9.10401e-6	8.9563e-5	8.91909e-6	0	2.47097e-5	3.94087e-5	1.36153e-5	4.74616e-5	1.21119e-5	4.32688e-5	1.55399e-5	0	2.75041e-6	5.31055e-6	1.24636e-5	0	3.01587e-5	1.19295e-5	1.08347e-5	1.83757e-6	7.63277e-6	2.0819e-5	1.41158e-5	3.01622e-6	3.90057e-5	8.1402e-6	1.61146e-6	1.63709e-6	4.05862e-5	1.13086e-5	4.64743e-6	5.3361e-6	8.09074e-6	5.75919e-5	8.13428e-6	2.04381e-5	3.64934e-5	3.37232e-5	0	3.08151e-6
PWY-5104: L-isoleucine biosynthesis IV|g__Anaerostipes.s__Anaerostipes_hadrus	7.56474e-6	3.30189e-6	0	0	0	0	0	0	0	2.40546e-6	0	0	0	0	1.64354e-6	0	0	0	0	0	0	0	0	0	0	2.309e-6	1.86619e-6	0	4.24798e-7	6.51545e-6	0	0	0	0	0	0	0	0	1.77442e-6	3.57119e-6	0	0	1.18248e-6	0	0	0	5.14419e-7	0	0	0	0	0	0	0	5.17742e-7	0	0	0	0	2.34226e-6	3.35451e-7	0	0	0	0	0	0	8.46001e-7	0	0	0	0	0	6.43982e-7	1.08996e-6	0	0	0
PWY-5104: L-isoleucine biosynthesis IV|g__Coprococcus.s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.14044e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00387e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95002e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02325e-6	0	0	0	0	0	0	0
PWY-5104: L-isoleucine biosynthesis IV|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0786e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5104: L-isoleucine biosynthesis IV|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	4.76666e-6	0	9.83644e-7	1.75236e-6	5.05155e-7	0	0	0	3.50148e-6	0	8.07926e-7	0	0	3.67246e-6	0	0	2.26688e-6	0	0	0	0	0	0	0	1.94888e-6	2.70061e-7	2.36528e-6	0	9.6247e-6	5.43427e-7	0	0	0	8.57605e-7	0	0	0	0	5.0964e-6	0	0	1.12975e-6	0	0	0	1.18668e-6	0	0	0	0	1.78763e-6	0	0	8.6079e-7	0	0	1.26078e-6	0	3.31175e-6	6.25047e-7	0	8.22895e-6	1.19117e-6	0	0	0	1.24219e-6	0	0	0	0	4.61415e-7	6.62411e-7	4.28895e-7	0	0	0
PWY-5104: L-isoleucine biosynthesis IV|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10322e-7	0	0	0	0	0	0	0	5.66722e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3984e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5104: L-isoleucine biosynthesis IV|g__Roseburia.s__Roseburia_intestinalis	0	1.86866e-4	0	0	3.42758e-7	0	0	0	3.87872e-6	1.33609e-4	0	0	0	7.71907e-7	0	9.75164e-7	4.72748e-6	2.40076e-5	0	0	3.53288e-7	4.15147e-6	0	0	2.59601e-6	6.80079e-5	4.27997e-6	0	0	0	9.2233e-6	0	5.70875e-7	0	0	1.70723e-5	6.52096e-6	1.2503e-6	0	0	0	0	0	0	0	1.58287e-7	0	1.70227e-5	0	0	0	0	7.93692e-6	0	8.23234e-6	0	2.12973e-6	0	0	0	1.43906e-6	1.65313e-6	2.44765e-6	0	0	0	7.44781e-6	0	0	0	6.0369e-7	1.09272e-5	0	5.22031e-6	1.54429e-5	2.32586e-6	0	0
PWY-5104: L-isoleucine biosynthesis IV|unclassified	1.42372e-6	1.50629e-5	6.07478e-6	0	9.8649e-7	1.18471e-6	0	0	2.88132e-6	2.04918e-5	3.12449e-6	0	0	1.33909e-6	1.28613e-6	0	0	5.39031e-6	3.19883e-6	0	0	0	1.69955e-6	0	0	1.22915e-5	0	0	0	1.09083e-6	0	8.52728e-6	3.58386e-6	0	0	4.43712e-6	0	2.2719e-6	1.74707e-6	1.1206e-6	2.9062e-6	0	0	3.97679e-6	8.41646e-6	3.61705e-6	3.98818e-6	0	1.07471e-6	0	2.5159e-6	0	0	0	0	0	1.25169e-6	0	6.64173e-6	1.33146e-6	1.02636e-6	0	0	4.3668e-6	1.5388e-6	1.44103e-6	8.78255e-7	0	3.08574e-6	2.05426e-6	0	1.00391e-6	6.8282e-7	4.41031e-6	3.00595e-6	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	2.50039e-6	4.68754e-6	0	1.60215e-6	3.06555e-6	0	0	4.35158e-6	2.07373e-6	9.11908e-6	3.18625e-5	0	0	2.5872e-5	1.00397e-5	0	6.39819e-6	1.11851e-5	0	0	0	0	1.17243e-6	3.67285e-5	1.77573e-6	3.20113e-6	3.52333e-5	4.51184e-5	0	0	0	3.11522e-5	1.80073e-5	1.40523e-5	1.60752e-6	1.1843e-6	3.05592e-5	0	0	5.39136e-7	1.28702e-5	7.26778e-5	5.1402e-5	0	2.40451e-5	4.67225e-5	6.96766e-6	0	0	1.53165e-5	3.21643e-5	0	0	3.30451e-5	6.64756e-6	4.8953e-6	0	8.74373e-6	0	1.75214e-5	1.31034e-5	0	3.0901e-6	1.01838e-6	0	3.20046e-5	8.29632e-5	6.5897e-6	1.19997e-5	2.40336e-5	2.07177e-5	1.7036e-5	1.568e-6	7.08346e-6	1.53887e-5	6.50187e-5	0	8.49121e-6
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1036e-6	2.45291e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52664e-6	0	0	0	0	0	0	0	0	0	0	0
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	0	3.47262e-6	0	0	0	0	0	0	0	5.70058e-6	1.82608e-7	0	0	3.3683e-7	0	0	0	2.1438e-7	0	0	0	0	1.41497e-7	1.1901e-6	0	1.33551e-6	0	8.71516e-7	0	0	0	0	3.20175e-7	0	0	0	3.5205e-6	0	0	0	0	2.21899e-7	1.48491e-7	0	0	1.74405e-6	0	0	0	0	0	0	0	1.13121e-7	1.94156e-7	0	0	1.98496e-7	0	0	1.24175e-6	0	5.31873e-7	0	0	0	2.10082e-6	0	3.672e-7	2.36476e-6	0	4.59744e-7	0	0	1.62223e-7	7.36231e-7	0	0
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	1.20123e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0763e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|g__Escherichia.s__Escherichia_coli	0	1.71738e-6	0	0	0	0	0	0	0	8.81508e-7	1.82608e-7	0	0	1.46867e-7	0	0	0	1.64826e-7	0	0	0	0	5.05995e-8	9.26993e-7	0	3.07119e-7	0	3.62604e-7	0	0	0	0	1.07911e-7	0	0	0	1.26604e-6	0	0	0	0	2.21899e-7	1.30557e-7	0	0	1.74405e-6	0	0	0	0	0	0	0	1.13121e-7	6.55698e-8	0	0	1.98496e-7	0	0	1.06401e-6	0	4.54349e-7	0	0	0	1.00903e-6	0	1.42239e-7	2.36476e-6	0	4.03764e-7	0	0	1.3512e-7	6.18721e-7	0	0
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|g__Proteus.s__Proteus_penneri	0	0	0	0	0	0	0	0	0	7.1166e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32975e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	4.63196e-6	1.27508e-4	5.22812e-5	9.71064e-6	1.06198e-5	0	0	1.25568e-5	4.90487e-5	3.62792e-5	1.80731e-5	2.01454e-6	0	1.00322e-4	2.12556e-5	8.77592e-6	2.41695e-5	6.86387e-5	0	0	7.50507e-6	1.99997e-5	5.50394e-5	8.80112e-5	4.05744e-5	1.68174e-5	3.54257e-5	7.46747e-5	7.56342e-7	6.43388e-6	4.05417e-5	0	9.38033e-5	2.25598e-5	1.43579e-5	3.88137e-5	8.01534e-5	3.1049e-5	4.99392e-6	8.26983e-5	3.30949e-5	7.18891e-5	8.01869e-5	3.17913e-5	0	1.18711e-4	1.84342e-5	3.7683e-5	2.85839e-5	4.21534e-5	9.40456e-5	4.2944e-5	3.95569e-5	4.28134e-5	4.623e-5	1.52591e-6	1.20243e-5	1.3814e-5	3.00086e-5	3.75452e-5	7.69804e-5	1.38608e-5	2.42142e-5	9.89327e-6	2.54359e-5	4.05631e-7	1.00999e-4	4.3143e-5	3.01209e-5	2.3907e-5	2.57545e-5	7.77334e-5	4.87113e-6	1.17431e-5	2.85292e-5	1.13759e-4	6.02484e-5	3.93449e-5
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28737e-6	0	0	0	0	0	0	0	0	9.19659e-7	0	0	3.08247e-7	2.8539e-6	0	0	0	0	0	0	0	0	0	0	8.39281e-7	0	2.85298e-6	0	0	0	0	0	8.14881e-7	0	0	0	0	1.32479e-6	0	0	0	0	0	0	0	6.34984e-7	7.33309e-6	0	0	3.58864e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	4.28603e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Escherichia.s__Escherichia_coli	0	2.37564e-6	0	0	0	0	0	0	0	2.52088e-6	5.4757e-7	0	0	1.75192e-6	6.46303e-7	0	0	6.95054e-7	0	0	0	0	0	7.2144e-7	0	6.63397e-7	6.63842e-7	5.50353e-6	0	0	0	0	4.87191e-7	0	0	0	1.01639e-5	0	0	0	0	9.55274e-6	4.9144e-6	0	0	1.69084e-5	0	0	0	8.22039e-7	6.3781e-7	0	0	2.4094e-6	0	0	0	0	0	1.18853e-6	3.30183e-6	0	6.79727e-7	0	0	0	1.09523e-6	0	9.61402e-7	3.92781e-6	7.75607e-7	8.42429e-7	0	0	0	1.24055e-6	0	3.32045e-7
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45689e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99914e-7	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis	2.09613e-7	1.47342e-6	0	0	7.01616e-7	0	0	3.61815e-6	1.04276e-6	7.36889e-6	0	7.15132e-7	0	2.55667e-6	1.6801e-6	4.68452e-7	0	1.38226e-6	0	0	0	0	0	2.20567e-5	0	8.84636e-8	8.36917e-6	4.48373e-6	0	0	0	0	1.8577e-6	1.9786e-6	1.10127e-6	1.17766e-6	2.95463e-6	0	0	0	5.82419e-6	2.11399e-5	1.16527e-5	0	0	9.23378e-6	1.80846e-6	5.02613e-7	0	2.62588e-6	1.81521e-6	0	0	2.72889e-6	1.40001e-6	1.93547e-7	8.50809e-7	0	0	9.22252e-7	1.76264e-6	0	7.40322e-7	0	0	7.15104e-8	1.73348e-5	0	1.54683e-6	2.63345e-6	2.00671e-6	5.24491e-6	0	0	1.81602e-6	2.05469e-5	0	1.23359e-7
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	6.57089e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65302e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7855e-6	0	0	0	0	0	0	5.57279e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	1.40014e-6	0	0	0	0	0	0	0	4.33492e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09669e-7	0	0	0	0	2.04796e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59997e-7	0	0	0	2.58374e-7	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Escherichia.s__Escherichia_coli	1.93874e-7	1.16428e-6	0	0	0	0	0	1.65319e-6	0	1.53077e-6	0	0	0	1.84834e-6	1.21692e-6	4.02694e-7	0	5.615e-8	0	0	0	0	0	2.36657e-7	0	5.90829e-8	7.55684e-7	4.06201e-6	0	0	0	0	1.13001e-6	0	5.72541e-7	0	1.99697e-6	0	0	0	0	2.00151e-5	1.04311e-5	0	0	7.48912e-6	0	0	0	2.52472e-6	2.9038e-7	0	0	1.08373e-6	0	1.20677e-7	0	0	0	5.29248e-7	1.23975e-6	0	5.21693e-7	0	0	6.73637e-8	1.54466e-5	0	1.49874e-6	2.04813e-6	1.63095e-6	3.19504e-7	0	0	2.49269e-7	1.7222e-5	0	1.19153e-7
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.78812e-7	0	0	0	0	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	4.8583e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45289e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02139e-6	2.58323e-7	0	0	0	0	1.26204e-6	0	0	0	0	0	0	0	3.95329e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45967e-8	0	0	6.93069e-7	0	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27239e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5177: glutaryl-CoA degradation	3.99922e-5	2.63246e-5	1.70231e-4	6.97438e-5	1.02222e-4	5.12157e-5	0	1.0189e-6	7.03159e-5	3.09477e-5	2.54335e-5	8.29811e-5	1.437e-6	6.05406e-5	7.37226e-5	7.01823e-6	6.3237e-5	1.61388e-4	2.85955e-5	2.23988e-5	1.17691e-4	0	3.63304e-5	4.61464e-5	1.46705e-4	1.67829e-4	1.23975e-4	1.43708e-5	2.85669e-5	7.91011e-5	3.00139e-5	1.01983e-4	3.57915e-5	6.88247e-5	5.15567e-5	1.75877e-4	6.57325e-6	6.34686e-5	8.82696e-5	1.36499e-5	1.90483e-4	0	3.68786e-6	7.26675e-5	7.7668e-5	2.92501e-5	8.85729e-5	1.29941e-5	6.61521e-6	2.38904e-6	1.475e-4	6.47993e-5	6.33994e-5	2.52257e-5	1.56312e-4	4.83016e-5	1.8646e-4	7.85782e-6	7.90725e-6	1.42186e-4	6.41141e-6	3.27562e-5	1.03624e-4	1.47605e-4	4.762e-5	5.1841e-5	1.16334e-5	7.44832e-6	2.41311e-6	1.51399e-5	6.01668e-5	1.1505e-4	5.67916e-5	1.35086e-4	2.88067e-4	3.43183e-5	8.96299e-5	2.74175e-5
PWY-5177: glutaryl-CoA degradation|g__Coprococcus.s__Coprococcus_catus	1.58676e-7	0	0	0	4.98204e-7	0	0	0	1.51822e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5177: glutaryl-CoA degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.92885e-5	9.12757e-6	1.62705e-4	6.07829e-5	9.28202e-5	4.4002e-5	0	0	4.84819e-5	0	1.97883e-5	7.6696e-5	0	3.80946e-5	6.09805e-5	5.96568e-6	5.84941e-5	1.46284e-4	2.22559e-5	2.23988e-5	1.13083e-4	0	3.01922e-5	3.84615e-5	1.28755e-4	1.40763e-4	1.13901e-4	1.13673e-5	2.3186e-5	7.12646e-5	2.55769e-5	9.2475e-5	2.98605e-5	5.97496e-5	4.64656e-5	1.5668e-4	0	5.75214e-5	8.00863e-5	7.76046e-6	1.72517e-4	0	9.8987e-7	6.39848e-5	6.9455800000000007e-05	1.73006e-5	7.94512e-5	9.5953e-6	3.60939e-6	0	1.36796e-4	5.62128e-5	5.96853e-5	1.60737e-5	1.20975e-4	4.1235e-5	1.71828e-4	5.36909e-6	2.32408e-7	1.34083e-4	5.87131e-7	2.7011e-5	9.49514e-5	1.33012e-4	4.24282e-5	4.58567e-5	7.14403e-6	2.47067e-6	0	1.00308e-5	5.09893e-5	9.74426e-5	4.27834e-5	1.22103e-4	2.49884e-4	2.53322e-5	8.55077e-5	2.64019e-5
