pwy_species	G89286	G89287	G89288	G89290	G89292	G89293	G89294	G89295	G89296	G89297	G89299	G89300	G89301	G89302	G89303	G89304	G89305	G89307	G89308	G89309	G89311	G89312	G89313	G89314	G89315	G89316	G89317	G89320	G89321	G89322	G89323	G89324	G89325	G89328	G89329	G89330	G89331	G89332	G89333	G89334	G89335	G89336	G89338	G89339	G89340	G89341	G89343	G89344	G89345	G89347	G89348	G89349	G89350	G89351	G89352	G89353	G89354	G89355	G89356	G89358	G89360	G89361	G89362	G89363	G89364	G89365	G89366	G89368	G89369	G89370	G89372	G89373	G89374	G89375	G89378	G89379	G89380	G89381
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	4.1642	15.6743	0.166843	0.468437	0.0045816	1.00743	0.0916228	0.251503	5.84823e-4	0.0144785	4.738	0.848384	3.12775	0.0106337	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.00272307	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.0209495	10.2644	0.00180681	1.45392	1.66567	6.26221	2.77646e-4	1.05335	1.59171	0.543519	7.57838	0.00184027	223.401	0.424276	35.9623	20.594	4.02294e-4	1.06809	3.29766	1.86767	0.0187423	4.30291	4.88524	37.0002	3.45771	26.8447	3.52809e-4	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	0.0124579	104.23	267.695	3.85147	9.97198e-4	22.3415	7.64484	0.00451383	12.5526	31.494	0.00512463
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	4.1642	15.6743	0.166843	0.0858582	1.00671	1.00743	0.0916228	0.251503	1.04305e-4	0.00114885	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.688714	8.95375e-4	5.80401e-4	0.00146169	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	1.04454	10.2644	1.61959	1.45392	1.66567	6.26221	3.5686e-4	1.05335	1.59171	0.543519	7.57838	6.34348e-4	223.401	0.424276	35.9623	20.594	2.05348e-4	1.06809	3.29766	0.00115153	0.00435445	4.30291	4.88524	37.0002	3.45771	0.00539244	0.00104508	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	0.00343357	104.23	267.695	3.85147	0.00132899	22.3415	7.64484	4.63915	12.5526	0.0384302	0.00475262
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sanguinis	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	0.00504561	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	0.00104036	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	0.0064392	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	0.00616485	0.00209834	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	0.00137989	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	0.0139798	7.64484	4.63915	12.5526	31.494	12.5652
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	1.08988e-4	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	8.77341e-5	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	0.00143735	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	2.13999e-5	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	1.75067	15.6743	0.166843	0.639902	5.5309	3.775	0.0916228	0.251503	0.751389	6.92402	4.738	2.29706	3.12775	6.44759	2.35796	0.0598922	1.75294	1.84021	6.55828	0.0151271	1.67908	0.443659	2.45799	5.13677	5.48906	0.00858674	1.54278	2.16169	14.0307	0.842138	0.624881	2.0735	5.67789	1.91617	5.27029	10.2644	1.61959	1.45392	1.47796	6.26221	1.66519	5.28354	0.207853	1.74207e-5	7.57838	3.09979	0.00225707	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	1.62849	0.0246227	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	7.61893e-5	17.4164	33.8507	8.12572	21.0633	104.23	267.695	6.27436e-5	17.5044	22.3415	7.64484	0.322475	12.5526	31.494	12.5652
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	4.1642	15.6743	0.166843	2.94862e-4	0.129302	1.00743	0.0916228	7.083e-5	0.751389	6.92402	4.738	0.848384	3.12775	7.38095e-4	2.35796	0.0598922	1.38907	0.00178803	6.55828	0.0151271	3.83328e-4	0.443659	3.1777	8.94723e-4	0.00226602	0.00682554	4.02008	2.16169	14.0307	2.33625	0.00115226	2.0735	5.67789	3.8584	3.03652e-4	10.2644	4.52554e-4	1.45392	0.00422431	6.26221	0.00432405	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	0.00110942	1.06809	3.29766	2.79954e-4	0.00262417	4.30291	4.88524	37.0002	3.45771	26.8447	0.00105611	9.05155	1.91798e-4	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	0.00515757	22.3415	7.64484	4.63915	12.5526	31.494	0.0104886
UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	4.1642	0.00160777	0.166843	1.09626e-4	0.242085	1.00743	0.0916228	0.251503	3.7136e-4	6.92402	4.738	0.848384	3.12775	4.92641e-4	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	0.00190731	0.443659	3.1777	5.13677	5.8039	0.00336267	4.02008	2.16169	14.0307	2.33625	3.43717e-4	2.0735	5.67789	3.8584	3.84508e-4	0.0114054	5.503e-4	1.45392	0.00119799	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	9.01598e-4	223.401	0.424276	35.9623	20.594	7.8585e-4	1.06809	3.29766	3.53871e-4	0.00109038	4.30291	4.88524	37.0002	3.45771	26.8447	0.114355	9.05155	3.02814e-4	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	0.00122944	22.3415	7.64484	5.79585e-4	12.5526	31.494	12.5652
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	0.00522219	0.00123137	1.09835e-4	4.7603e-4	0.00131524	1.00743	0.0916228	2.33436e-4	0.751389	5.01347e-4	4.738	0.848384	3.12775	6.15062e-5	2.35796	1.90966e-5	1.38907	3.64845e-4	6.55828	0.0151271	0.00102157	2.04027e-4	3.1777	5.06783e-5	9.75496e-4	0.00324448	4.02008	2.16169	14.0307	2.33625	1.22728e-5	2.0735	5.67789	3.8584	5.3959200000000003e-05	0.01135	0.0630273	1.45392	9.05157e-4	6.26221	6.46015e-4	1.05335	1.59171	0.543519	7.57838	0.00864758	223.401	7.11505e-4	35.9623	20.594	2.45919e-4	0.00170886	0.0027986	3.46828e-5	0.00132058	4.30291	4.88524	37.0002	3.45771	0.0202677	4.32495e-4	9.05155	1.66095e-4	0.00299156	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	0.00273648	22.3415	7.64484	1.71943e-4	12.5526	0.0367482	12.5652
UNINTEGRATED|g__Veillonella.s__Veillonella_ratti	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	3.36077e-4	12.5526	31.494	12.5652
UNINTEGRATED|unclassified	2.37335	3.60068	0.580138	0.938692	2.27083	3.33801	6783.58	23362.5	0.577061	2.90483	2.07392e-5	0.846363	4.27445	2.76226e-5	0.0655094	65120.3	1.40687	1.24363	2.91397	7036.48	0.262309	0.504514	1.06939	9.4556e-6	1.05417	1.61028	1.45792	0.272542	2.79337e-5	1.81267	1.34031	3.70919	0.993901	0.763198	1.09723	4.86294	5.44995e-6	1.03083	1.15193	1.00717e-5	1.0708	0.582066	6.60016	3.09333	4.25807	2.54477	2.0338e-4	1.22488	8.86725e-5	3.98498	2.34952	3.84546	3.59416	1.8178	13.4366	1.55645	10.1868	4.928e-4	2.07438	9.70896e-5	0.761741	2.87142	3.85526	9.62703	1.96566	3.90775	2.68596	8.92619	2.56953	0.00126844	0.734199	0.325252	4.11946	4.59827	3.19379	4.43386	6.64076	6.29753
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.193728	1.25006	0.166843	1.34678	0.570682	1.00743	0.0916228	0.543888	0.0381344	0.203924	1.29286	0.423703	3.12775	0.591035	0.241471	0.0598922	1.38907	0.106902	6.55828	0.0151271	0.298271	0.443659	3.1777	0.131185	0.898312	0.274748	0.327378	0.359151	1.55993	0.0780715	0.624881	2.0735	0.260132	0.343923	0.728224	1.72363	1.0138	0.101307	0.120158	0.219447	0.0755948	0.267365	1.65999	11.477	7.57838	0.27761	8.05739	0.424276	3.47824	7.42128	0.392907	0.358928	3.29766	0.678863	6.48581	4.30291	3.80021	17.7629	25.2911	2.43265	0.181239	0.732518	1.00207	1.2028	3.53082	4.58785	0.322437	1.19358	24.4438	167.431	1.50712	0.792918	2.1868	0.390269	0.286382	0.417765	31.494	2.17577
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0.0559224	0.766161	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.400459	4.738	0.848384	3.12775	7.25833	0.272278	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	0.260211	0.225361	2.16169	0.287862	0.0261265	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	0.148185	0.0811266	1.66519	1.05335	0.354319	0.543519	7.57838	3.09979	15.8211	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	1.05837	0.437139	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	4.38229	104.23	267.695	3.85147	17.5044	22.3415	0.597648	0.576029	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Blautia.s__Ruminococcus_torques	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	2.88297	0.18054	6.92402	4.738	0.848384	3.12775	7.25833	0.117804	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.191337	5.8039	7.7972	0.309908	0.0908381	14.0307	0.130201	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	0.165566	0.0598539	6.26221	0.0878343	1.05335	1.59171	0.543519	7.57838	3.09979	15.756	0.424276	35.9623	20.594	2.91694	0.120502	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	0.0372622	9.05155	0.392512	1.27072	515.029	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	5.55542	7.64484	4.63915	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	0.0518654	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	0.368177	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.185739	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	0.193424	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	2.57615	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.749674	0.885671	0.848384	3.12775	0.538672	0.882689	0.0598922	1.38907	0.572404	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	1.06513	14.0307	2.33625	0.624881	2.0735	0.666634	3.8584	0.447545	10.2644	0.253939	1.45392	1.66567	6.26221	1.66519	0.204808	0.0355285	0.543519	7.57838	0.215931	223.401	0.424276	35.9623	2.85269	0.221134	1.06809	3.29766	0.111433	54.0945	4.30291	4.88524	37.0002	3.45771	2.58367	0.479698	9.05155	0.392512	8.05732	17.4164	33.8507	0.120592	21.0633	9.54478	41.896	0.256772	17.5044	22.3415	7.64484	4.63915	0.179132	31.494	3.22907
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	0.527641	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.0161248	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	0.383204	0.234176	0.376312	0.543519	7.57838	3.09979	4.11789	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	0.605627	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	4.1642	0.506956	0.166843	2.46232	0.171518	1.00743	0.0916228	0.251503	0.751389	0.260879	4.738	0.0846624	3.12775	7.25833	0.156829	0.0598922	1.38907	0.0416357	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	0.225696	1.15947	0.125748	0.556579	0.0253318	0.624881	2.0735	5.67789	3.8584	0.997978	10.2644	1.61959	1.45392	1.66567	0.0754372	1.66519	1.05335	0.327566	0.543519	7.57838	3.09979	22.1859	0.424276	35.9623	20.594	2.91694	0.097826	3.29766	1.86767	7.9618	4.30291	4.88524	3.44283	3.45771	0.981464	0.783758	9.05155	0.00578041	0.410128	17.4164	33.8507	8.12572	3.57425	104.23	267.695	3.85147	17.5044	22.3415	0.573886	0.498528	12.5526	31.494	12.5652
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	0.0371831	0.282556	0.166843	0.639902	0.115278	1.00743	0.0916228	0.251503	0.00452177	0.0327781	0.229633	0.848384	3.12775	0.0806015	0.0628751	0.0598922	1.38907	0.0197875	6.55828	0.0151271	0.0387397	0.443659	3.1777	5.13677	0.115735	0.0421692	0.0652422	0.0877504	14.0307	0.036092	0.624881	2.0735	0.0313825	0.0462143	0.447545	0.225116	1.61959	0.0128231	0.0209016	0.0691014	0.0098563	1.05335	7.34603	98.9449	7.57838	0.0391692	1.46094	0.424276	0.422822	1.91469	0.0625616	1.06809	3.29766	1.86767	0.882891	4.30291	3.73697	37.0002	199.958	0.860122	0.0616539	0.0876996	72.9205	0.284687	0.0982156	0.579585	0.0533091	0.148203	5.09522	267.695	3.85147	0.114622	0.276069	0.053021	0.040071	0.0649222	31.494	0.30584
PWY-7456: mannan degradation	0.335753	15.6743	0.0451747	0.639902	5.5309	0.17235	0.0916228	0.251503	0.0312139	1.05423	4.738	0.42317	3.12775	7.25833	1.60734	0.0598922	0.0510366	1.84021	6.55828	0.0151271	1.83461	0.443659	0.0679567	0.267598	1.27121	7.7972	0.129258	2.16169	0.212596	0.363185	0.624881	0.050511	0.25644	0.0776886	0.447545	10.2644	1.61959	1.45392	0.0743729	0.666521	0.709089	1.05335	1.59171	0.0191434	2.16685	0.205515	5.55229	0.424276	35.9623	20.594	0.188301	0.0854375	3.29766	1.86767	54.0945	0.187872	4.88524	37.0002	0.184279	1.3073	0.0961674	9.05155	0.392512	8.05732	2.95708	20.1136	8.12572	21.0633	104.23	267.695	0.306814	0.348265	0.206862	0.563861	4.63915	12.5526	31.494	12.5652
PWY-7456: mannan degradation|g__Bacteroides.s__Bacteroides_ovatus	0.0893408	15.6743	0.166843	0.639902	5.5309	0.0494298	0.0916228	0.251503	0.751389	6.92402	4.738	0.169023	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	0.0537599	0.285589	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	0.0192375	0.181086	1.66519	1.05335	1.59171	0.543519	7.57838	0.221801	3.39918	0.424276	35.9623	20.594	2.91694	0.0437493	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	0.714143	0.0244624	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	1.97531	0.215281	7.64484	4.63915	12.5526	31.494	12.5652
PWY-7456: mannan degradation|g__Coprococcus.s__Coprococcus_eutactus	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	0.0347723	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	0.0506211	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	0.152307	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-7456: mannan degradation|g__Eubacterium.s__Eubacterium_siraeum	4.1642	15.6743	0.0419118	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	0.822165	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	0.0172661	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	0.0128628	0.122715	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	0.653556	1.05335	1.59171	0.00491569	0.68959	3.09979	223.401	0.424276	35.9623	20.594	0.140922	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	7.12444	4.19518	9.05155	0.392512	8.05732	17.4164	9.07066	8.12572	21.0633	104.23	267.695	3.85147	17.5044	0.0754888	7.64484	4.63915	12.5526	31.494	12.5652
PWY-7456: mannan degradation|unclassified	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.00805443	0.297535	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	0.0207569	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.0696196	0.380271	7.7972	0.0331129	2.16169	14.0307	2.33625	0.624881	2.0735	0.140905	0.0320362	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	0.0698836	2.39646	0.424276	35.9623	20.594	0.0742899	0.0452737	3.29766	1.86767	54.0945	0.0701234	4.88524	37.0002	0.047988	0.674836	4.19518	9.05155	0.392512	8.05732	0.847145	33.8507	8.12572	21.0633	104.23	267.695	0.0815776	0.0920386	0.714434	0.14922	4.63915	12.5526	31.494	12.5652
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	4.1642	0.0812545	0.166843	0.639902	1.25102	1.00743	0.0916228	0.133192	0.232478	0.0251373	0.898767	0.848384	3.12775	0.224027	0.594334	0.0598922	0.398094	0.107075	6.55828	0.0151271	1.34681	0.443659	0.704854	1.12467	4.26032	1.18946	9.10729	1.17057	14.0307	2.33625	1.46184	2.0735	0.577467	2.25808	0.251251	1.12533	0.128744	0.44467	1.66567	6.26221	1.66519	0.0117918	0.0415174	0.543519	7.57838	0.0690683	223.401	0.424276	35.9623	2.00689	0.167795	1.06809	0.26201	0.0723012	1.05366	4.30291	256.944	13.9764	3.45771	2.73572	0.149432	1.38222	0.0356836	8.05732	17.4164	33.8507	0.0491063	21.0633	11.0854	34.1054	0.332568	0.215907	9.75787	7.64484	0.0827873	0.0776062	31.494	3.30466
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|g__Escherichia.s__Escherichia_coli	4.1642	0.68294	0.166843	0.639902	5.5309	1.00743	0.0916228	0.0686262	0.751389	0.240853	0.34296	0.848384	3.12775	0.0879477	0.238125	0.0598922	1.38907	0.222354	6.55828	0.0151271	1.83461	0.443659	0.275724	0.438965	1.1816	0.994504	0.193702	1.13709	14.0307	2.33625	0.624881	2.0735	0.22386	1.23425	0.133843	4.43309	0.0453162	1.45392	1.66567	6.26221	1.66519	0.00396016	0.014084	0.543519	7.57838	0.0233699	223.401	0.424276	35.9623	0.715443	0.0581622	1.06809	0.801594	0.0247389	54.0945	4.30291	4.88524	6.22688	3.45771	0.978377	0.0852263	9.05155	0.0384838	8.05732	17.4164	33.8507	0.016435	21.0633	3.97712	12.4237	0.126581	1.31729	4.58874	7.64484	0.402105	0.0259758	31.494	1.33575
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|g__Roseburia.s__Roseburia_intestinalis	4.1642	0.0300183	0.166843	0.639902	0.491051	1.00743	0.0916228	0.251503	0.0976305	0.00921169	4.738	0.848384	3.12775	0.53104	2.35796	0.0598922	0.365461	0.100376	6.55828	0.0151271	0.87925	0.443659	3.1777	5.13677	4.92492	0.720262	11.8335	2.16169	14.0307	2.33625	3.13576	2.0735	1.81191	3.8584	0.447545	0.426825	1.61959	0.36607	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	0.101018	1.86767	0.35584	4.30291	761.061	37.0002	3.45771	26.8447	0.123393	0.512961	0.0180052	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	1.16147	0.0764607	22.3415	7.64484	0.0298196	12.5526	31.494	12.5652
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	4.1642	0.466477	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.150715	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6703: preQ0 biosynthesis	0.165551	0.474791	0.0365608	0.435708	0.183095	0.318759	0.192228	0.526072	0.339678	0.513087	0.512718	0.16649	1.5764	0.282364	0.0937292	0.343288	0.682102	0.124488	0.197007	0.0226021	0.1028	0.208402	0.139104	0.090948	0.389884	0.167805	1.05502	0.368272	0.136262	0.207037	0.493874	0.0385271	0.209059	0.373437	0.275635	0.182287	0.0444451	0.0771446	0.305987	0.0847673	0.349358	0.606401	0.171216	0.048047	0.373639	0.110517	2.26515	0.381323	0.473966	0.362466	0.377073	0.285842	0.315779	1.78018	0.920787	0.668477	0.0926038	7.86118	0.0958782	0.716586	0.0858937	0.640054	0.317556	0.208343	0.3782	0.443478	0.429123	0.327206	1.54621	4.27412	0.726714	0.362257	2.16148	0.0910928	0.436818	0.167256	3.94714	0.309081
